amount,line_id,narration,value_date
20833.84,bl_7607316151,NEFT-UTR417055915-RAZORPAY SETTLEMENT MEERA,2026-08-14
19971.65,bl_8151390077,NEFT-UTR261921407-RAZORPAY SETTLEMENT VIKRAM,2026-08-03
20827.18,bl_4178963114,NEFT-UTR488929101-RAZORPAY SETTLEMENT MEERA,2026-08-22
2817.77,bl_7946905675,NEFT-UTR295502252-RAZORPAY SETTLEMENT NEHA,2026-08-10
3568.73,bl_7930057781,NEFT-UTR820648565-RAZORPAY SETTLEMENT RITU,2026-08-13
23924.96,bl_9316908230,NEFT-UTR612431400-RAZORPAY SETTLEMENT KARAN,2026-08-19
20516.4,bl_8515312385,NEFT-UTR856632724-RAZORPAY SETTLEMENT KARAN,2026-08-17
21340.96,bl_2335522921,NEFT-UTR103464377-RAZORPAY SETTLEMENT ISHAAN,2026-08-09
12058.73,bl_3549302979,IMPS-843895196-SETTLEMENT RZP,2026-08-14
7433.01,bl_8251352029,NEFT-UTR471065666-RAZORPAY SETTLEMENT ARJUN,2026-08-19
21195.78,bl_8009539250,NEFT-UTR192630690-RAZORPAY SETTLEMENT KARAN,2026-08-24
18838.57,bl_4885800095,NEFT-UTR991495579-RAZORPAY SETTLEMENT DIVYA,2026-08-10
12183.47,bl_3149839210,NEFT-UTR869017393-RAZORPAY SETTLEMENT ROHIT,2026-08-03
10124.54,bl_4245863187,NEFT-UTR109747845-RAZORPAY SETTLEMENT ADITYA,2026-08-20
12013.67,bl_5836272098,NEFT-UTR874657789-RAZORPAY SETTLEMENT RITU,2026-08-04
13670.58,bl_1070471292,NEFT-UTR970568443-RAZORPAY SETTLEMENT PRIYA,2026-08-14
22276.49,bl_5600727998,NEFT-UTR305730993-RAZORPAY SETTLEMENT SNEHA,2026-08-21
12399.88,bl_3181040849,NEFT-UTR308131829-RAZORPAY SETTLEMENT SNEHA,2026-08-15
6886.46,bl_7010494956,NEFT-UTR853772606-RAZORPAY SETTLEMENT VIKRAM,2026-08-22
22483.67,bl_9564905531,NEFT-UTR938503501-RAZORPAY SETTLEMENT RITU,2026-08-02
7752.78,bl_7664611830,NEFT-UTR890499327-RAZORPAY SETTLEMENT DIVYA,2026-08-07
5455.59,bl_2761661605,NEFT-UTR390674003-RAZORPAY SETTLEMENT ISHAAN,2026-08-12
1862.05,bl_7128865413,NEFT-UTR626164787-RAZORPAY SETTLEMENT DIVYA,2026-08-04
16422.6,bl_8843879504,NEFT-UTR672874271-RAZORPAY SETTLEMENT PRIYA,2026-08-12
9824.74,bl_3886157956,NEFT-UTR978778118-RAZORPAY SETTLEMENT ADITYA,2026-08-17
10394.18,bl_1181292127,NEFT-UTR706347883-RAZORPAY SETTLEMENT ADITYA,2026-08-16
22461.88,bl_5336401115,NEFT-UTR894279401-RAZORPAY SETTLEMENT RITU,2026-08-08
10892.91,bl_4046997278,NEFT-UTR727515604-RAZORPAY SETTLEMENT NEHA,2026-08-13
12023.57,bl_8179651689,NEFT-UTR112434639-RAZORPAY SETTLEMENT ADITYA,2026-08-12
2404.51,bl_9432311674,NEFT-UTR586943313-RAZORPAY SETTLEMENT KARAN,2026-08-03
2230.62,bl_2033082070,NEFT-UTR404022706-RAZORPAY SETTLEMENT ISHAAN,2026-08-14
17397.54,bl_9373700683,NEFT-UTR210103040-RAZORPAY SETTLEMENT ANANYA,2026-08-13
13286.24,bl_6408234412,NEFT-UTR369844652-RAZORPAY SETTLEMENT NEHA,2026-08-09
300.86,bl_8306498428,NEFT-UTR254051360-RAZORPAY SETTLEMENT NEHA,2026-08-11
8306.15,bl_2608083855,NEFT-UTR683542376-RAZORPAY SETTLEMENT ROHIT,2026-08-08
20540.48,bl_5452298729,IMPS-369395330-SETTLEMENT RZP,2026-08-17
3309.58,bl_2175908867,NEFT-UTR246501580-RAZORPAY SETTLEMENT ANANYA,2026-08-22
4251.26,bl_8841249061,IMPS-809761374-SETTLEMENT RZP,2026-08-18
