amount,payment_id,settled_at,settlement_id,utr
9993.27,pay_72627932472,2026-08-17T17:00:00,stl_9644182740,UTR358681105
12183.47,pay_66742197494,2026-08-03T00:00:00,stl_8700424215,UTR869017393
17397.54,pay_51050260853,2026-08-13T00:00:00,stl_7571582016,UTR210103040
7752.78,pay_96231698670,2026-08-07T18:00:00,stl_2669644795,UTR890499327
10394.18,pay_74695782031,2026-08-16T11:00:00,stl_7729477006,UTR706347883
19656.18,pay_96005923904,2026-08-05T08:00:00,stl_8310086110,UTR278464151
22461.88,pay_87899119100,2026-08-08T19:00:00,stl_3410414964,UTR894279401
17434.34,pay_17084945823,2026-08-21T15:00:00,stl_3478408196,UTR541741093
1880.81,pay_18772620915,2026-08-28T02:00:00,stl_5812612101,UTR426249388
11269.31,pay_80105874252,2026-08-12T00:00:00,stl_3817458971,UTR634764120
23684.31,pay_27558698693,2026-08-09T14:00:00,stl_2695159276,UTR184951242
12431.78,pay_91326688339,2026-08-18T14:00:00,stl_7158352916,UTR118311881
13286.24,pay_66556577423,2026-08-09T17:00:00,stl_1463105714,UTR369844652
21195.78,pay_97989654342,2026-08-24T08:00:00,stl_2444874539,UTR192630690
